Godot Engine v4.2.1.stable.official.b09f793f5 - https://godotengine.org
OpenGL API 4.1 ATI-4.7.103 - Compatibility - Using Device: ATI Technologies Inc. - AMD Radeon R9 M370X OpenGL Engine
 
Token (FUNC,func)
Token (IDENT,test)
Token (LPAREN,()
Token (RPAREN,))
Token (COLON,:)
Token (NL,<null>)
Token (BEGIN,<null>)
Token (IDENT,print)
Token (LPAREN,()
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (PLUS,+)
Token (REAL_CONST,2.718)
Token (RPAREN,))
Token (NL,<null>)
Token (IDENT,print)
Token (LPAREN,()
Token (RPAREN,))
Token (NL,<null>)
Token (IDENT,print)
Token (LPAREN,()
Token (MINUS,-)
Token (MINUS,-)
Token (MINUS,-)
Token (MINUS,-)
Token (MINUS,-)
Token (MINUS,-)
Token (MINUS,-)
Token (MINUS,-)
Token (MINUS,-)
